,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,1,Bitcoin,BTC,bitcoin,9000,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18762043.0,18762043.0,,1,2021-07-21T00:40:08.000Z,29640.41558384246,22876887191.12794,-0.52801852,-4.22809735,-8.76605909,-16.37495455,-20.4886473,-45.03736175,556114751721.9224,2021-07-21T00:40:08.000Z,,,,,
1,1027,Ethereum,ETH,ethereum,5663,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,116775177.1865,116775177.1865,,2,2021-07-21T00:41:02.000Z,1776.247151419773,17268582939.114174,-0.4907812,-2.93671638,-7.0097991,-20.33468859,-26.45807927,-25.30376431,207421575834.05988,2021-07-21T00:41:02.000Z,,,,,
2,825,Tether,USDT,tether,14576,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'stablecoin-asset-backed', 'avalanche-ecosystem', 'solana-ecosystem']",,61931782008.73168,64469767616.826355,,3,2021-07-21T00:40:29.000Z,1.00030403997629,45276964920.32384,-0.00042106,0.02180433,0.03729758,-0.03087602,-0.15708461,0.01545019,61950611746.265205,2021-07-21T00:40:29.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
3,1839,Binance Coin,BNB,binance-coin,523,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'binance-smart-chain', 'alameda-research-portfolio', 'multicoin-capital-portfolio']",168137036.0,168137036.0,168137036.0,,4,2021-07-21T00:41:06.000Z,262.91079082720984,1780120176.6053162,-0.70358221,-7.15438977,-13.42229176,-22.33902698,-19.02193727,-51.66849354,44205041102.10305,2021-07-21T00:41:06.000Z,,,,,
4,2010,Cardano,ADA,cardano,273,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-chain']",45000000000.0,32041069499.467,32844877815.045,,5,2021-07-21T00:41:07.000Z,1.04617195075646,1769373627.3257453,-1.20991975,-7.53446988,-16.12654215,-26.30169684,-32.28578044,-12.7301952,33520468182.5807,2021-07-21T00:41:07.000Z,,,,,
5,3408,USD Coin,USDC,usd-coin,972,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'stablecoin-asset-backed']",,26774003805.529594,26774003805.529594,,6,2021-07-21T00:41:04.000Z,1.00031700769991,2357151846.428413,0.01024984,0.01360874,0.02848081,-0.0384675,-0.0190769,0.02332393,26782491370.893364,2021-07-21T00:41:04.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
6,52,XRP,XRP,xrp,631,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,46265302471.0,99990338186.0,,7,2021-07-21T00:41:03.000Z,0.52277178158349,2000180426.9572055,-1.27252464,-7.40293819,-14.07632716,-31.92578019,-47.54728746,-59.80108779,24186194598.263714,2021-07-21T00:41:03.000Z,,,,,
7,74,Dogecoin,DOGE,dogecoin,368,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel']",,130521667625.38222,130521667625.38222,,8,2021-07-21T00:40:14.000Z,0.17002083787937,1803760868.649514,-0.48806343,-2.81830937,-12.87757896,-38.71986461,-51.80251521,-43.35908823,22191403291.080128,2021-07-21T00:40:14.000Z,,,,,
8,4687,Binance USD,BUSD,binance-usd,750,2019-09-20T00:00:00.000Z,"['stablecoin', 'stablecoin-asset-backed', 'binance-chain', 'binance-smart-chain']",,11209707766.97,11209707766.97,,9,2021-07-21T00:40:13.000Z,1.00019085328537,3277160529.767824,-0.00040508,0.01134085,0.0137464,-0.04917265,-0.03117623,0.03662681,11211847176.525364,2021-07-21T00:40:13.000Z,1839.0,Binance Chain,BNB,binance-coin,BUSD-BD1
9,6636,Polkadot,DOT,polkadot-new,212,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kinetic-capital', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",,977123430.5495906,1092847586.9747784,,10,2021-07-21T00:41:06.000Z,10.7849791879644,934566003.2147491,-1.84455787,-6.03987839,-21.78995775,-47.3285555,-54.77641774,-68.06646507,10538255862.549711,2021-07-21T00:41:06.000Z,,,,,
10,7083,Uniswap,UNI,uniswap,266,2020-09-17T00:00:00.000Z,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-xzy-screener']",1000000000.0,587325025.6432422,1000000000.0,,11,2021-07-21T00:40:24.000Z,14.39223677699789,366862323.2724889,-1.46505093,-9.38345374,-20.45014097,-29.84794242,-33.41407817,-57.79890197,8452920834.1139,2021-07-21T00:40:24.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
11,1831,Bitcoin Cash,BCH,bitcoin-cash,556,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain']",21000000.0,18794825.0,18794825.0,,12,2021-07-21T00:40:29.000Z,394.53363364673294,1242569214.9060802,-1.28661577,-6.26896021,-13.77056918,-28.67132032,-41.49666448,-56.64808301,7415190601.004457,2021-07-21T00:40:29.000Z,,,,,
12,2,Litecoin,LTC,litecoin,709,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain']",84000000.0,66752414.51538747,66752414.51538747,,13,2021-07-21T00:41:02.000Z,105.93336073448563,1427357215.1753263,-1.47240646,-7.57826851,-17.72294989,-31.37109661,-40.92231161,-58.85714471,7071307606.756455,2021-07-21T00:41:02.000Z,,,,,
